
RN                     ,INSTANCE_NUMBER,METRIC_NAME_UNIT                                                           ,FIRST_MAXVAL,FIRST_AVERAGE,FIRST_STDDEV,SECOND_MAXVAL,SECOND_AVERAGE,SECOND_STDDEV
03/02 18:00-03/26 03:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,        33.2,        23.72,        4.65,         5.46,          3.59,         1.11
03/02 18:00-03/26 03:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.01,        27.76,        6.52,         8.22,          4.71,         1.88
03/02 18:00-03/26 03:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       21.45,        16.25,        3.24,         5.38,          3.03,          .79
03/02 18:30-03/26 03:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.12,         5.47,         .77,         2.39,          1.61,          .31
03/02 18:30-03/26 03:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.27,        23.32,        4.12,         5.28,          4.07,          .73
03/02 18:30-03/26 03:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.27,        28.46,        7.93,         7.52,          5.03,         1.26
03/02 18:30-03/26 03:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       16.22,        14.11,        2.11,         3.05,          2.58,          .28
03/02 19:00-03/26 04:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.51,         5.59,         .82,            2,          1.42,           .2
03/02 19:00-03/26 04:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       44.75,        25.99,        8.87,         6.04,          4.58,          .64
03/02 19:00-03/26 04:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       39.04,        30.57,        5.79,         7.29,          4.69,         1.24
03/02 19:00-03/26 04:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.82,        15.59,        2.48,         4.25,          2.75,          .56
03/02 19:30-03/26 05:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.25,         5.79,        1.01,         1.56,          1.31,          .12
03/02 19:30-03/26 05:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.39,        21.82,        3.15,         4.53,           3.5,          .57
03/02 19:30-03/26 05:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.58,        30.47,        4.46,         6.02,          4.05,          .89
03/02 19:30-03/26 05:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       27.46,        19.25,        3.95,        44.06,         19.53,         16.4
03/02 20:00-03/26 06:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,       12.44,         6.49,        1.93,         1.85,          1.32,          .23
03/02 20:00-03/26 06:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.47,        23.66,        4.31,         4.06,          2.84,          .79
03/02 20:00-03/26 06:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       48.44,        36.91,        5.49,         5.51,          4.08,          .71
03/02 20:00-03/26 06:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       30.63,        21.31,        4.24,        20.19,          5.24,         4.37
03/02 20:30-03/26 06:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.19,         5.75,        1.03,         1.57,          1.31,          .14
03/02 20:30-03/26 06:45,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.63,        20.11,        3.51,         4.72,          3.58,           .6
03/02 20:30-03/26 06:45,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.95,        27.73,        5.88,         5.63,          4.03,          .85
03/02 20:30-03/26 06:45,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       29.97,           19,        4.28,         3.03,          2.68,          .28
03/02 21:00-03/26 07:30,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,         7.2,         5.73,        1.04,         4.21,           2.5,          .62
03/02 21:00-03/26 07:30,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       28.33,        20.07,        4.12,         4.29,          3.17,          .61
03/02 21:00-03/26 07:30,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       43.85,        29.23,        6.34,          7.7,          4.66,         1.37
03/02 21:00-03/26 07:30,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       21.36,        17.34,        2.13,         3.12,          2.63,           .4
03/02 21:30-03/26 08:15,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.46,          5.5,         .65,         8.27,          2.98,         1.78
03/02 21:30-03/26 08:15,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       36.37,        23.74,        6.69,        32.77,         15.37,         9.79
03/02 21:30-03/26 08:15,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       43.75,        32.62,        4.97,        35.85,          17.4,        10.14
03/02 21:30-03/26 08:15,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       26.54,         13.8,        4.05,        50.59,         20.78,        13.53
03/02 22:00-03/26 09:00,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        7.25,         5.75,         .87,         2.02,           1.6,          .19
03/02 22:00-03/26 09:00,              2,Response Time Per Txn - CentiSeconds Per Txn                               ,       45.59,        25.73,        7.83,         6.78,          4.73,         1.13
03/02 22:00-03/26 09:00,              3,Response Time Per Txn - CentiSeconds Per Txn                               ,       46.59,        30.71,        7.37,         6.85,           4.3,          .94
03/02 22:00-03/26 09:00,              4,Response Time Per Txn - CentiSeconds Per Txn                               ,       20.03,        15.48,        3.55,         3.11,          2.71,          .24
03/02 22:30-03/26 09:45,              1,Response Time Per Txn - CentiSeconds Per Txn                               ,        6.08,         4.92,         .57,         1.57,           1.3,          .16
